id,category,source_id,product_type,dim_x_m,dim_y_m,dim_z_m,faces,glb_size_mb,license,source
table_B07DBB7831,table,B07DBB7831,TABLE,0.505,0.555,0.459,14932,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07B7BX336,table,B07B7BX336,TABLE,1.183,0.458,0.458,4740,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DBDX5WF,table,B07DBDX5WF,TABLE,0.479,0.623,0.402,20542,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DBF1R71,table,B07DBF1R71,TABLE,0.479,0.623,0.402,20542,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B074KKMQHB,table,B074KKMQHB,TABLE,0.514,0.426,0.513,15944,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B072ZKTSNX,table,B072ZKTSNX,TABLE,1.57,0.462,0.425,2484,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DBDWZ61,table,B07DBDWZ61,TABLE,1.107,0.51,0.55,14180,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DBDZMSS,table,B07DBDZMSS,TABLE,0.488,0.565,0.442,14820,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07H93GTHW,table,B07H93GTHW,TABLE,1.579,0.736,0.881,1120,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DBFQV23,table,B07DBFQV23,TABLE,1.197,0.405,0.577,7712,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07JGZP163,table,B07JGZP163,TABLE,1.65,0.42,0.39,9004,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DVVKD85,table,B07DVVKD85,TABLE,0.45,0.68,0.35,7290,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B072ZMHBKQ,table,B072ZMHBKQ,TABLE,0.37,0.508,0.288,9800,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B072ZLCB3M,table,B072ZLCB3M,TABLE,0.477,0.476,0.494,912,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07H8T878F,table,B07H8T878F,TABLE,1.584,0.692,0.047,10880,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07B7H9VMM,table,B07B7H9VMM,TABLE,0.425,0.604,0.441,20,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07F3XLTRH,table,B07F3XLTRH,TABLE,0.508,0.457,0.457,16128,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07B7HVCMB,table,B07B7HVCMB,TABLE,0.455,0.554,0.455,8752,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07F49VHB8,table,B07F49VHB8,TABLE,1.333,0.457,0.571,18296,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B01M4OYBOI,table,B01M4OYBOI,TABLE,1.083,0.39,0.542,10190,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07F3Y9BSC,table,B07F3Y9BSC,TABLE,1.219,0.78,0.394,19084,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07F3XM8M3,table,B07F3XM8M3,TABLE,0.914,0.457,0.914,18704,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B074KMZGRP,table,B074KMZGRP,TABLE,0.418,0.664,0.414,6784,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DBHFDQW,table,B07DBHFDQW,TABLE,1.219,0.78,0.394,19084,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07H8SSY2P,table,B07H8SSY2P,TABLE,1.778,0.899,0.795,1392,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07W421VGL,table,B07W421VGL,TABLE,0.431,0.55,0.431,49890,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B072ZLMBH7,table,B072ZLMBH7,TABLE,0.407,0.447,0.407,6928,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DW4VYQW,table,B07DW4VYQW,TABLE,0.513,0.653,0.513,11416,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07B7BJK89,table,B07B7BJK89,TABLE,1.609,0.78,0.946,13804,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSGPG2D,bookshelf,B07HSGPG2D,SHELF,0.888,0.888,0.202,13406,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07PPNNCM2,bookshelf,B07PPNNCM2,SHELF,0.636,1.779,0.341,15748,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSJYKXY,bookshelf,B07HSJYKXY,SHELF,0.601,0.725,0.125,5106,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSJN2FX,bookshelf,B07HSJN2FX,SHELF,1.781,0.972,0.275,11038,1.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07B7J5BC2,bookshelf,B07B7J5BC2,SHELF,1.575,0.719,0.479,12116,1.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B00NUS53CY,bookshelf,B00NUS53CY,SHELF,0.907,1.36,0.352,28976,1.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07B8P1JCT,bookshelf,B07B8P1JCT,SHELF,0.605,0.053,0.102,6816,1.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07B8PXMQT,bookshelf,B07B8PXMQT,SHELF,0.924,0.049,0.092,19840,1.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B01LYBQXRH,bookshelf,B01LYBQXRH,SHELF,0.907,1.361,0.352,29296,1.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07H8SQ2NZ,bookshelf,B07H8SQ2NZ,SHELF,0.995,1.405,0.434,1668,1.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07B8PXQ1Q,bookshelf,B07B8PXQ1Q,SHELF,0.456,0.053,0.102,6816,1.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSLQY2F,bookshelf,B07HSLQY2F,SHELF,0.564,0.913,0.294,6212,1.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSLTFWR,bookshelf,B07HSLTFWR,SHELF,0.645,0.229,0.15,5492,1.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSMYNYJ,bookshelf,B07HSMYNYJ,SHELF,0.67,1.545,0.323,31330,1.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B075ZF4S39,bookshelf,B075ZF4S39,SHELF,1.022,1.878,0.381,10480,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07B8VJQG1,bookshelf,B07B8VJQG1,SHELF,0.607,0.088,0.152,3072,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07B8PXSD2,bookshelf,B07B8PXSD2,SHELF,0.457,0.088,0.152,768,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSGBB2D,bookshelf,B07HSGBB2D,SHELF,0.491,1.342,0.267,2274,2.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSJX4S6,bookshelf,B07HSJX4S6,SHELF,0.822,0.45,0.15,7724,2.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSLTLGP,bookshelf,B07HSLTLGP,SHELF,1.371,1.826,0.379,6484,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSKW3D6,bookshelf,B07HSKW3D6,SHELF,1.3,0.495,0.4,6556,2.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B075ZBW1RR,bookshelf,B075ZBW1RR,SHELF,0.822,0.947,0.352,14544,2.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSKY884,bookshelf,B07HSKY884,SHELF,1.403,1.063,0.344,25008,2.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B075Z6YS1Z,bookshelf,B075Z6YS1Z,SHELF,0.874,1.86,0.359,6084,2.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSGFLJ9,bookshelf,B07HSGFLJ9,SHELF,1.212,0.865,0.685,3524,2.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSCJZQM,bookshelf,B07HSCJZQM,SHELF,0.652,2.005,0.454,17976,2.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSPHZXD,bookshelf,B07HSPHZXD,SHELF,0.708,0.701,0.15,13964,2.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B075Z7SQND,bookshelf,B075Z7SQND,SHELF,1.746,1.808,0.508,2988,2.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07B7J8GGS,bookshelf,B07B7J8GGS,SHELF,1.201,0.765,0.361,5570,3.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B074KKXLK1,bookshelf,B074KKXLK1,SHELF,0.539,1.732,0.395,15584,3.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07B8K18WV,bookshelf,B07B8K18WV,SHELF,0.729,0.439,0.112,15698,3.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSCNKCT,bookshelf,B07HSCNKCT,SHELF,0.748,1.471,0.308,2998,3.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSM36J9,bookshelf,B07HSM36J9,SHELF,0.636,0.19,0.166,5743,3.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07HSGCNVB,bookshelf,B07HSGCNVB,SHELF,0.847,2.015,0.431,13744,3.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07PNHSR4G,bookshelf,B07PNHSR4G,SHELF,0.66,1.892,0.381,31196,3.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07QY2ZN7X,bookshelf,B07QY2ZN7X,SHELF,0.895,0.732,0.396,14698,3.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07B7GZTNR,bookshelf,B07B7GZTNR,SHELF,0.584,1.727,0.472,6903,3.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B075ZBW22K,bookshelf,B075ZBW22K,SHELF,0.5,1.9,0.428,9502,4.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07B7J2VCD,bookshelf,B07B7J2VCD,SHELF,0.864,1.93,0.453,38530,4.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07B7GYMQ9,bookshelf,B07B7GYMQ9,SHELF,1.878,0.715,0.471,81802,4.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B071DZHLXH,bookshelf,B071DZHLXH,SHELF,0.762,1.645,0.356,38770,7.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B0754KHKCX,bookshelf,B0754KHKCX,SHELF,0.79,0.786,0.39,504,9.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B00NUS5GXA,bookshelf,B00NUS5GXA,SHELF,0.762,1.587,0.356,23364,10.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B072JT7WDX,bookshelf,B072JT7WDX,SHELF,1.524,1.981,0.61,63982,10.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07PQS58XN,bookshelf,B07PQS58XN,SHELF,0.66,1.892,0.381,54996,11.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07QW1L8H6,bookshelf,B07QW1L8H6,SHELF,0.89,1.65,0.25,10956,11.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07RQZKXT4,bookshelf,B07RQZKXT4,SHELF,0.6,0.6,0.16,10456,11.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B07QZ77FGN,bookshelf,B07QZ77FGN,SHELF,1.6,1.81,0.5,77244,12.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B0735CJJDM,bookshelf,B0735CJJDM,SHELF,0.711,0.711,0.356,13392,12.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
bookshelf_B0735CKD6R,bookshelf,B0735CKD6R,SHELF,0.711,0.711,0.356,13392,12.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07B4Z9PL9,lamp,B07B4Z9PL9,LAMP,0.219,1.23,0.418,9862,0.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07374M818,lamp,B07374M818,LAMP,0.208,0.406,0.208,11122,0.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07HK3F2NH,lamp,B07HK3F2NH,LIGHT_FIXTURE,0.312,1.366,0.315,14416,0.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07B4YVX5Q,lamp,B07B4YVX5Q,LIGHT_FIXTURE,0.587,0.242,0.239,11966,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07B4YYC4V,lamp,B07B4YYC4V,LAMP,0.162,0.385,0.218,11544,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B075X2XZDY,lamp,B075X2XZDY,LAMP,0.295,0.639,0.295,28760,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07DBHM1RK,lamp,B07DBHM1RK,LAMP,0.328,0.612,0.328,15144,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07GNNPB3M,lamp,B07GNNPB3M,LAMP,0.247,0.387,0.247,8458,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07DBCG1QY,lamp,B07DBCG1QY,LAMP,0.256,1.571,0.813,21376,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07GNNPB38,lamp,B07GNNPB38,LAMP,0.247,0.387,0.247,8458,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07DBJYDLK,lamp,B07DBJYDLK,LIGHT_FIXTURE,0.382,0.304,0.395,18310,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07376VCCS,lamp,B07376VCCS,LIGHT_FIXTURE,0.863,0.869,0.299,16416,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07DTFBDTL,lamp,B07DTFBDTL,LAMP,0.207,0.559,0.324,8272,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07B4VSTG2,lamp,B07B4VSTG2,LIGHT_FIXTURE,0.279,0.269,0.279,15626,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07DBHC39X,lamp,B07DBHC39X,LIGHT_FIXTURE,0.393,0.229,0.393,8640,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07DBCN3KB,lamp,B07DBCN3KB,LAMP,0.405,1.797,0.405,17500,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07DTLF7DN,lamp,B07DTLF7DN,LAMP,0.249,1.505,0.476,9184,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07DBDV3FH,lamp,B07DBDV3FH,LAMP,0.355,1.473,0.355,17102,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B0742DNBGB,lamp,B0742DNBGB,LAMP,0.144,0.603,0.471,9166,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07B4YY8H3,lamp,B07B4YY8H3,LAMP,0.11,0.464,0.352,11818,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07DBHCKKD,lamp,B07DBHCKKD,LAMP,0.431,1.488,0.431,14508,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07DBCMTCS,lamp,B07DBCMTCS,LAMP,0.331,0.698,0.331,15414,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07DTLKL7L,lamp,B07DTLKL7L,LAMP,0.32,0.591,0.32,7331,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B071HSMXBT,lamp,B071HSMXBT,LIGHT_FIXTURE,0.217,1.367,0.211,16474,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07DBHB6D4,lamp,B07DBHB6D4,LAMP,0.159,0.708,0.546,28313,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B073P3WGZZ,lamp,B073P3WGZZ,LAMP,0.181,0.639,0.181,14072,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07DBHCKML,lamp,B07DBHCKML,LAMP,0.575,1.785,0.405,25118,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07B4Z9C39,lamp,B07B4Z9C39,LIGHT_FIXTURE,0.638,0.292,0.177,30850,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B0719H3LG2,lamp,B0719H3LG2,LIGHT_FIXTURE,0.173,0.741,0.173,30494,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B073P3NL8C,lamp,B073P3NL8C,LAMP,0.232,1.813,0.229,16832,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B0825F3GC7,lamp,B0825F3GC7,LAMP,0.197,0.559,0.316,19146,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B073P2ZGMJ,lamp,B073P2ZGMJ,LAMP,0.175,0.469,0.298,22650,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B0742DNY41,lamp,B0742DNY41,LAMP,0.194,1.594,0.653,9476,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B075X2XZDD,lamp,B075X2XZDD,LAMP,0.222,1.25,0.421,9530,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07B4ZBB7R,lamp,B07B4ZBB7R,LAMP,0.219,1.23,0.418,9862,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07B4ZP62F,lamp,B07B4ZP62F,LIGHT_FIXTURE,0.067,0.249,0.067,17578,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07B4YHYR2,lamp,B07B4YHYR2,LAMP,0.434,1.778,0.253,27144,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B0742D9X4G,lamp,B0742D9X4G,HOME_LIGHTING_AND_LAMPS,0.153,0.456,0.286,23458,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B071F6WK9K,lamp,B071F6WK9K,LIGHT_FIXTURE,0.265,1.055,0.265,16246,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07B4Z9BS4,lamp,B07B4Z9BS4,LIGHT_FIXTURE,0.279,0.269,0.279,16178,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B073P3HHFS,lamp,B073P3HHFS,LAMP,0.286,0.456,0.153,23418,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B073P46SHG,lamp,B073P46SHG,LAMP,0.211,0.536,0.273,11774,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B075X3S2X5,lamp,B075X3S2X5,LAMP,0.223,1.43,0.508,26357,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07HK6B4D7,lamp,B07HK6B4D7,LIGHT_FIXTURE,0.189,0.665,0.422,19268,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07374SBFL,lamp,B07374SBFL,LAMP,0.25,1.526,0.431,40130,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B073P484RR,lamp,B073P484RR,LAMP,0.667,1.624,0.522,23852,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07B4SC2JX,lamp,B07B4SC2JX,LIGHT_FIXTURE,0.279,0.613,0.281,15200,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B0742F7GT8,lamp,B0742F7GT8,LAMP,0.483,1.553,0.483,17412,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B07HKGY4YZ,lamp,B07HKGY4YZ,LAMP,0.299,0.454,0.341,7956,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
lamp_B075X2Y3Q9,lamp,B075X2Y3Q9,LAMP,0.285,0.483,0.285,10916,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07GFL6W68,cabinet,B07GFL6W68,DRESSER,1.535,0.79,0.333,432,0.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07C41C1C8,cabinet,B07C41C1C8,CABINET,1.25,2.16,0.48,1368,0.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07GFSJ69T,cabinet,B07GFSJ69T,CABINET,1.78,1.96,0.629,7880,0.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07GFFPKFV,cabinet,B07GFFPKFV,CABINET,0.991,1.808,0.577,12492,0.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07GFL6W6N,cabinet,B07GFL6W6N,DRESSER,1.535,0.79,0.333,432,0.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07JGXXK33,cabinet,B07JGXXK33,CABINET,1.0,0.8,0.4,1594,0.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07H8SSJVW,cabinet,B07H8SSJVW,DRESSER,1.1,1.0,0.46,1896,0.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07JGPKY8D,cabinet,B07JGPKY8D,DRESSER,0.65,1.19,0.4,2574,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07JGY5LML,cabinet,B07JGY5LML,CABINET,1.65,0.8,0.4,16346,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07GG2X2MX,cabinet,B07GG2X2MX,CABINET,0.52,1.63,0.255,3932,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B075X2PC3L,cabinet,B075X2PC3L,DRESSER,1.558,0.872,0.463,7690,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07H8JRYSB,cabinet,B07H8JRYSB,DRESSER,0.83,0.74,0.42,1836,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07H8T8ZS7,cabinet,B07H8T8ZS7,CABINET,1.11,1.85,0.4,29644,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07GFS1WDY,cabinet,B07GFS1WDY,CABINET,0.991,1.808,0.577,12492,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07JGPK68C,cabinet,B07JGPK68C,CABINET,1.0,1.19,0.4,8704,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07H8JRPLT,cabinet,B07H8JRPLT,CABINET,1.168,1.397,0.473,952,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07H8PWFDF,cabinet,B07H8PWFDF,CABINET,0.496,2.117,0.588,12156,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B077NZFT6C,cabinet,B077NZFT6C,DRESSER,1.022,0.891,0.46,6532,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07H8SM6Q4,cabinet,B07H8SM6Q4,CABINET,2.7,2.37,0.59,1728,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07B7JY9C5,cabinet,B07B7JY9C5,CABINET,0.402,0.455,0.5,11874,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07G4ZXLC8,cabinet,B07G4ZXLC8,CABINET,0.801,0.78,0.396,9680,1.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07GFLD22Q,cabinet,B07GFLD22Q,CABINET,0.75,1.28,0.25,2562,1.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07S74J1JT,cabinet,B07S74J1JT,CABINET,0.8,0.46,0.8,5514,1.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07GFRP9RY,cabinet,B07GFRP9RY,DRESSER,0.809,0.762,0.529,124,1.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07GFS1WH7,cabinet,B07GFS1WH7,CABINET,0.75,1.28,0.25,2562,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07S74K5Y9,cabinet,B07S74K5Y9,CABINET,0.98,1.92,0.58,27294,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07GFFKRXS,cabinet,B07GFFKRXS,DRESSER,0.994,0.816,0.404,1788,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07B78G1D1,cabinet,B07B78G1D1,CABINET,1.21,1.659,0.61,20778,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07H8JN9QF,cabinet,B07H8JN9QF,CABINET,1.998,2.159,0.598,1460,2.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07HSH4ZR2,cabinet,B07HSH4ZR2,DRESSER,0.503,0.568,0.414,8150,2.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07GFDPB2V,cabinet,B07GFDPB2V,DRESSER,0.994,0.816,0.404,1788,2.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07HSBD8DM,cabinet,B07HSBD8DM,CABINET,1.708,0.82,0.522,7292,2.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07H8SKPWP,cabinet,B07H8SKPWP,DRESSER,0.43,0.36,0.4,5028,2.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07121RM99,cabinet,B07121RM99,DRESSER,1.072,1.514,0.506,13927,2.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07RMYJWLS,cabinet,B07RMYJWLS,CABINET,0.3,1.4,0.269,5724,2.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07B4Y45GY,cabinet,B07B4Y45GY,DRESSER,1.551,0.856,0.463,26621,2.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07GFWW3S8,cabinet,B07GFWW3S8,CABINET,1.78,1.96,0.629,7880,2.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07B8NBQQP,cabinet,B07B8NBQQP,CABINET,0.541,0.603,0.21,10164,2.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07H8PS4FZ,cabinet,B07H8PS4FZ,CABINET,2.16,2.26,0.59,12660,2.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B071FJR479,cabinet,B071FJR479,DRESSER,1.523,0.889,0.512,5920,2.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07HSL4TS1,cabinet,B07HSL4TS1,DRESSER,0.905,0.721,0.457,17300,2.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B01LYEG73K,cabinet,B01LYEG73K,DRESSER,4.679,1.863,2.251,33286,2.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
